Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Іваненко,Варфоломій,Дмитрович,male,1966-08-26,Електромонтажник,місто Жидачів,"узвіз Лузанівка, буд. 04, Гнівань, 16382",+380 74 932-82-04,dadamchuk@example.org
Рябець,Златослава,Дмитрівна,female,1941-08-29,Архітектор,місто Кривий Ріг,"шосе Виноградна, буд. 118, Новий Калинів, 41876",+380 39 628 38 06,lverhun@example.org
Пелех,Азар,Геннадійович,male,1950-06-12,Фермер,село Тульчин,"сквер Костанді 2-й, буд. 361 кв. 9, Кролевець, 61858",058 805 14 21,svitlanariabchenko@example.com
Авраменко,Ганна,Федорівна,female,1958-12-25,Кінокритик,село Харцизьк,"площа Садовського, буд. 7, Кальміуське, 96387",580 14 30,ivanychukzlatoslava@example.com
Овсієнко,Йосип,Ярославович,male,1973-07-20,Хореограф,село Кременчук,"шосе Георгія Гамова, буд. 654, Василівка, 73492",136 39 24,boryslav70@example.com
Михалюк,Омелян,Русланович,male,1953-07-11,Педагог,місто Новодружеськ,"проспект Гранатний, буд. 2, Комарно, 13098",+380 (69) 554-67-21,ochaban@example.org
Івасюк,Богодар,Ульянович,male,2007-09-28,Етнограф,село Білгород-Дністровський,"парк Нафтовиків, буд. 70 кв. 90, Селидове, 37930",064 903 38 69,daryna32@example.org
Пилипенко,Андрій,Русланович,male,1962-07-24,Науковець,село Буськ,"провулок Трояндова, буд. 355, Андрушівка, 21151",+380 68 454-31-87,stanislavtovstukha@example.com
Штепа,Оксана,Зіновіївна,female,2004-01-14,Дантист,хутір Полонне,"провулок Біляївська, буд. 851, Березівка, 53806",+380 62 749 92 07,baidaheorhii@example.org
Ейбоженко,Святослав,Миколайович,male,1963-07-14,Педагог,село Городище,"сквер Дорбуду, буд. 60 кв. 489, Знам'янка, 24664",+380 45 287-72-52,ihnat93@example.net
Архимович,Єлисей,Ярославович,male,1959-11-15,Пілот,хутір Коростишів,"проспект Михайла Жука, буд. 922, Скадовськ, 65902",+380 06 000-47-51,cherinkosofiia@example.com
Влох,Юстим,Русланович,male,1959-06-18,Кінолог,хутір Берестечко,"набережна Івана Микитенка, буд. 60 кв. 0, Коломия, 65520",872 67 92,khrystynatiahnybok@example.org
Чуйко,Тереза,Сергіївна,female,1982-03-20,Громадський діяч,селище Покров,"площа Миколи Гумільова, буд. 124 кв. 2, Новий Калинів, 15303",+380 17 099 46 33,feofankylymnyk@example.com
Бевзенко,Соломія,Сергіївна,female,1957-10-24,Головний меркшейдер,місто Пустомити,"шосе Дальній, буд. 153, Болград, 69171",+380 27 707-28-10,veniiamyn06@example.org
Ткач,Кирило,Миколайович,male,1999-08-04,Кінолог,місто Збараж,"сквер Пересипська 3-тя, буд. 55 кв. 3, Моспине, 90530",+380 79 503-95-97,kandriievych@example.org
Вернигора,Віолетта,Зіновіївна,female,1995-12-06,Дипломат,хутір Євпаторія,"проспект Поліська, буд. 77, Богодухів, 80099",+380 63 628 51 48,orest58@example.com
Філіпенко,Ігнат,Федорович,male,1955-08-13,Дантист,місто Скадовськ,"узвіз Прилуцький, буд. 5, Чуднів, 56059",+380 (98) 735-26-72,khomaaleksandrenko@example.com
Гузь,Феофан,Анатолійович,male,1974-06-05,Графік,селище Залізне,"площа Вінницька, буд. 170, Берегове, 11267",+380 80 982-25-69,shovkopliasmarko@example.com
Шамрай,Устим,Володимирович,male,1995-04-07,Агроном,хутір Бучач,"сквер 15-та Лінія 6-й ст. Люстдорфської дороги, буд. 79, Снятин, 43428",508 19 13,hfesenko@example.org
Шутько,Марина,Ярославівна,female,1948-01-14,Льотчик,місто Добромиль,"набережна Крижанівський, буд. 6 кв. 615, Новий Буг, 60620",283-83-63,hordiishchyrytsia@example.com
Юхименко,Пармен,Дмитрович,male,1995-03-27,Продюсер,село Хутір-Михайлівський,"сквер Капітана Кузнецова, буд. 26 кв. 277, Алушта, 44200",+380 92 211 05 49,leopold98@example.net
Скирда,Кирило,Тарасович,male,1950-03-31,Фотограф,селище Городня,"провулок Військовий узвіз, буд. 762, Часів Яр, 43561",+380 39 936-25-31,fedir36@example.com
Шиян,Ада,Василівна,female,2003-01-10,Зоолог,місто Макіївка,"узвіз Лїнія 1-ша, буд. 427 кв. 92, Верхівцеве, 04450",051 178-41-89,thuzii@example.net
Ващенко-Захарченко,Пилип,Тарасович,male,1942-12-08,Бізнесмен,селище Очаків,"шосе Світанку, буд. 3, Узин, 52435",091 499-67-47,olehadamenko@example.org
Масоха,Іван,Ульянович,male,1950-02-22,Біолог,село Севастополь,"шосе Асташкіна, буд. 68, Острог, 25110",372 20 08,matiasholeh@example.org
Непорожній,Костянтин,Анатолійович,male,1948-07-11,Модель,село Хутір-Михайлівський,"провулок Сімферопольська, буд. 3 кв. 06, Ромни, 93856",772 94 60,iaryna00@example.com
Рябченко,Роман,Сергійович,male,1963-03-25,Секретар,селище Кадіївка,"сквер Польський узвіз, буд. 20, Тернівка, 36796",920 31 30,ada86@example.org
Литвиненко,Єва,Володимирівна,female,1972-03-14,Інженер,місто Херсон,"проспект Одеська, буд. 404, Татарбунари, 33133",351 36 50,fonishchuk@example.net
Артюшенко,Андрій,Петрович,male,1993-04-26,Ріелтор,село Лутугине,"парк Флейтовий, буд. 416 кв. 2, Інкерман, 78253",382 67 68,liudmylagalagan@example.org
Сімашкевич,Гаврило,Володимирович,male,2006-12-13,Підприємець,селище Златопіль,"площа Басейний 1-й, буд. 869, Шепетівка, 91303",+380 02 346-31-18,stefan83@example.org
Скопенко,Назар,Федорович,male,1985-04-30,Конструктор,хутір Вижниця,"парк Десятого квітня, буд. 933 кв. 54, Шепетівка, 41237",+380 14 020-72-27,zakhartaran@example.com
Чарниш,Феофан,Володимирович,male,1964-03-09,Кінорежисер,місто Таврійськ,"провулок Ясна, буд. 91 кв. 80, Шепетівка, 76197",295-76-15,ruslantaran@example.net
Фастенко,Віталій,Геннадійович,male,1979-11-10,Геофізик,хутір Батурин,"узвіз Вчительська, буд. 6 кв. 2, Мелітополь, 63934",+380 01 009-11-69,milena16@example.org
Деркач,Пармен,Олександрович,male,1994-04-17,Геолог,село Новгород-Сіверський,"парк Злакова, буд. 66 кв. 418, Алмазна, 34151",751-28-04,hutsuliaklarysa@example.org
Їжак,Владислав,Русланович,male,1988-06-06,Нотаріус,село Севастополь,"набережна Багрицького, буд. 9, Тиврів, 04205",090 779-00-68,fieroshenko@example.net
Василашко,Богданна,Ярославівна,female,1962-10-15,Ґрунтознавець,хутір Дружківка,"шосе Миколи Огренича, буд. 328 кв. 94, Гірське, 73878",+380 78 301-45-52,ustenkovitalii@example.org
Нестайко,Аркадій,Зіновійович,male,2005-03-08,Патологоанатом,місто Шостка,"вулиця Вознесенський, буд. 35, Прилуки, 19421",+380 89 321 50 86,fartymyshyn@example.com
Артеменко,Аарон,Артемович,male,1955-04-04,Геолог,місто Петрово-Красносілля,"площа Новоукраїнський, буд. 28 кв. 055, Отаманівка, 60659",037 490-04-76,cpanchuk@example.org
Козак,Демид,Дмитрович,male,1965-11-29,Журналіст,місто Благовіщенське,"вулиця Василя Берладяну, буд. 97, Новий Буг, 95336",+380 (15) 311-87-01,mpustovit@example.com
Щербань,Валентина,Василівна,female,1993-05-12,Стоматолог,хутір Волноваха,"вулиця Італійський, буд. 91 кв. 34, Дунаївці, 52587",+380 16 000-71-20,larsenych@example.org
Артим,Тимофій,Дмитрович,male,1965-11-29,Стиліст,село Новий Розділ,"узвіз Братів Малакових, буд. 9, Алмазна, 36856",189-65-80,szhaivoron@example.net
